TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
1556500,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,6f72702f73747362,0000000000000001,0,0
1561000,00000000000297dc,01050513,ALU_ADDI,000000003fc00030,0000000000000010,000000003fc00040,0,0
1561000,00000000000297dc,01050513,ALU_ADDI,000000003fc00030,0000000000000010,000000003fc00040,0,0
1564000,00000000000297e0,00053783,ALU_LD,000000003fc00040,0000000000000000,000000003fc00040,0,0
1564000,00000000000297e0,00053783,ALU_LD,000000003fc00040,0000000000000000,000000003fc00040,0,0
1614500,00000000000297e4,fc0798e3,ALU_BNE,0000000000003167,0000000000000000,0000000000000001,0,0
1614500,00000000000297e4,fc0798e3,ALU_BNE,0000000000003167,0000000000000000,0000000000000001,0,0
1619000,00000000000297b4,ffd78793,ALU_ADDI,0000000000003167,fffffffffffffffd,0000000000003164,0,0
1619000,00000000000297b4,ffd78793,ALU_ADDI,0000000000003167,fffffffffffffffd,0000000000003164,0,0
1622000,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,0000000000003164,0000000000000001,0,0
1622000,00000000000297b8,02f6e263,ALU_BLTU,000000000000001e,0000000000003164,0000000000000001,0,0
1626500,00000000000297dc,01050513,ALU_ADDI,000000003fc00040,0000000000000010,000000003fc00050,0,0
1626500,00000000000297dc,01050513,ALU_ADDI,000000003fc00040,0000000000000010,000000003fc00050,0,0
1629500,00000000000297e0,00053783,ALU_LD,000000003fc00050,0000000000000000,000000003fc00050,0,0
1629500,00000000000297e0,00053783,ALU_LD,000000003fc00050,0000000000000000,000000003fc00050,0,0
1633500,00000000000297e4,fc0798e3,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
1633500,00000000000297e4,fc0798e3,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
1636500,00000000000297e8,280f1463,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
1636500,00000000000297e8,280f1463,ALU_BNE,0000000000000000,0000000000000000,0000000000000000,1,0
1639500,00000000000297ec,000d0463,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1639500,00000000000297ec,000d0463,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1644000,00000000000297f4,000c0463,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1644000,00000000000297f4,000c0463,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1648500,00000000000297fc,000b0663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1648500,00000000000297fc,000b0663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1698500,0000000000029808,01013783,ALU_LD,000000003fbffde0,0000000000000010,000000003fbffdf0,0,0
1698500,0000000000029808,01013783,ALU_LD,000000003fbffde0,0000000000000010,000000003fbffdf0,0,0
1702500,000000000002980c,00078663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1702500,000000000002980c,00078663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
1707000,0000000000029818,02013783,ALU_LD,000000003fbffde0,0000000000000020,000000003fbffe00,0,0
1707000,0000000000029818,02013783,ALU_LD,000000003fbffde0,0000000000000020,000000003fbffe00,0,0
1711000,000000000002981c,00078663,ALU_BEQ,0000000000000000,0000000000000000,0000000000000001,0,0
