TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
21022500,WRITE,000000000004eb10,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01313c23
21023000,WRITE,000000000004eb10,000000003fbffe18,7,1,0000000000097000, HIT,24,0000000007f7ff,1,01313c23
21154000,WRITE,0000000000052094,000000003fbffdb8,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07713c23
21154500,WRITE,0000000000052094,000000003fbffdb8,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07713c23
21158000, READ,0000000000052098,0000000000095c78,7,1,0000000000000000, HIT,17,0000000000012b,1,b881b283
21158500, READ,0000000000052098,0000000000095c78,7,1,0000000000000000, HIT,17,0000000000012b,1,b881b283
21162000, READ,000000000005209c,0000000000095c60,7,1,0000000000000000, HIT,17,0000000000012b,1,b701bf83
21162500, READ,000000000005209c,0000000000095c60,7,1,0000000000000000, HIT,17,0000000000012b,1,b701bf83
21235000,WRITE,00000000000520a0,000000003fbffdf0,7,1,000000003fbffe40, HIT,23,0000000007f7ff,1,0a813823
21235500,WRITE,00000000000520a0,000000003fbffdf0,7,1,000000003fbffe40, HIT,23,0000000007f7ff,1,0a813823
21242000,WRITE,00000000000520a8,000000003fbffde8,7,1,0000000000097000, HIT,23,0000000007f7ff,1,0a913423
21242500,WRITE,00000000000520a8,000000003fbffde8,7,1,0000000000097000, HIT,23,0000000007f7ff,1,0a913423
21246000,WRITE,00000000000520ac,000000003fbffdd0,7,1,0000000000093fc0, HIT,23,0000000007f7ff,1,09413823
21246500,WRITE,00000000000520ac,000000003fbffdd0,7,1,0000000000093fc0, HIT,23,0000000007f7ff,1,09413823
21250000,WRITE,00000000000520b0,000000003fbffdc8,7,1,0000000000000000, HIT,23,0000000007f7ff,1,09513423
21250500,WRITE,00000000000520b0,000000003fbffdc8,7,1,0000000000000000, HIT,23,0000000007f7ff,1,09513423
21325000,WRITE,00000000000520b4,000000003fbffd78,7,1,0000000000093fd0, HIT,21,0000000007f7ff,1,f6c43c23
21325500,WRITE,00000000000520b4,000000003fbffd78,7,1,0000000000093fd0, HIT,21,0000000007f7ff,1,f6c43c23
21329000,WRITE,00000000000520b8,000000003fbffdf8,7,1,000000000004eb18, HIT,23,0000000007f7ff,1,0a113c23
21329500,WRITE,00000000000520b8,000000003fbffdf8,7,1,000000000004eb18, HIT,23,0000000007f7ff,1,0a113c23
21333000,WRITE,00000000000520bc,000000003fbffde0,7,1,0000000000097000, HIT,23,0000000007f7ff,1,0b213023
21333500,WRITE,00000000000520bc,000000003fbffde0,7,1,0000000000097000, HIT,23,0000000007f7ff,1,0b213023
21382500,WRITE,00000000000520c0,000000003fbffdd8,7,1,0000000000097000, HIT,23,0000000007f7ff,1,09313c23
21383000,WRITE,00000000000520c0,000000003fbffdd8,7,1,0000000000097000, HIT,23,0000000007f7ff,1,09313c23
21386500,WRITE,00000000000520c4,000000003fbffdc0,7,1,0000000000000000, HIT,23,0000000007f7ff,1,09613023
21387000,WRITE,00000000000520c4,000000003fbffdc0,7,1,0000000000000000, HIT,23,0000000007f7ff,1,09613023
21390500,WRITE,00000000000520c8,000000003fbffdb0,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07813823
21391000,WRITE,00000000000520c8,000000003fbffdb0,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07813823
21394500,WRITE,00000000000520cc,000000003fbffda8,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07913423
21395000,WRITE,00000000000520cc,000000003fbffda8,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07913423
21398500,WRITE,00000000000520d0,000000003fbffda0,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07a13023
21399000,WRITE,00000000000520d0,000000003fbffda0,7,1,0000000000000000, HIT,22,0000000007f7ff,1,07a13023
21402500,WRITE,00000000000520d4,000000003fbffd98,7,1,0000000000000000, HIT,22,0000000007f7ff,1,05b13c23
21403000,WRITE,00000000000520d4,000000003fbffd98,7,1,0000000000000000, HIT,22,0000000007f7ff,1,05b13c23
